Quintile,Job,Value,Year
1,"Combined Food Preparation and Serving Workers, Including Fast Food",100,2007
1,Shampooers,100,2007
1,"Cooks, Fast Food",100,2007
1,Dishwashers,100,2007
1,Dining Room and Cafeteria Attendants and Bartender Helpers,100,2007
1,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",100,2007
1,Waiters and Waitresses,100,2007
1,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",100,2007
1,Gaming Dealers,100,2007
1,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",100,2007
1,Amusement and Recreation Attendants,100,2007
1,"Ushers, Lobby Attendants, and Ticket Takers",100,2007
1,Models,100,2007
1,Bartenders,100,2007
1,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",100,2007
1,Cashiers,100,2007
1,"Locker Room, Coatroom, and Dressing Room Attendants",100,2007
1,"Graders and Sorters, Agricultural Products",100,2007
1,Manicurists and Pedicurists,100,2007
1,Food Preparation Workers,100,2007
1,Childcare Workers,100,2007
1,Parking Lot Attendants,100,2007
1,Maids and Housekeeping Cleaners,100,2007
1,"Food Servers, Nonrestaurant",100,2007
1,Nonfarm Animal Caretakers,100,2007
1,"Pressers, Textile, Garment, and Related Materials",100,2007
1,"Cooks, Short Order",100,2007
1,Legislators,100,2007
1,Motion Picture Projectionists,100,2007
1,Cleaners of Vehicles and Equipment,100,2007
1,Personal Care Aides,100,2007
1,"Packers and Packagers, Hand",100,2007
1,Laundry and Dry-Cleaning Workers,100,2007
1,Baggage Porters and Bellhops,100,2007
1,Automotive and Watercraft Service Attendants,100,2007
1,"Food Preparation and Serving Related Workers, All Other",100,2007
1,"Hotel, Motel, and Resort Desk Clerks",100,2007
1,"Personal Care and Service Workers, All Other",100,2007
1,Home Health Aides,100,2007
1,Retail Salespersons,100,2007
1,Sewing Machine Operators,100,2007
1,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",100,2007
1,"Transportation attendants, except flight attendants and baggage porters",100,2007
1,Gaming and Sports Book Writers and Runners,100,2007
1,Pharmacy Aides,100,2007
1,"Cooks, Restaurant",100,2007
1,Stock Clerks and Order Fillers,100,2007
2,"Farmworkers, Farm, Ranch, and Aquacultural Animals",100,2007
2,Recreation Workers,100,2007
2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",100,2007
2,Telemarketers,100,2007
2,Funeral Attendants,100,2007
2,Driver/Sales Workers,100,2007
2,"Hairdressers, Hairstylists, and Cosmetologists",100,2007
2,Helpers--Production Workers,100,2007
2,"Sewers, Hand",100,2007
2,Taxi Drivers and Chauffeurs,100,2007
2,"Meat, Poultry, and Fish Cutters and Trimmers",100,2007
2,"Cooks, Institution and Cafeteria",100,2007
2,rc_Photographic processing machine operators/Photographic process workers,100,2007
2,Veterinary Assistants and Laboratory Animal Caretakers,100,2007
2,Counter and Rental Clerks,100,2007
2,Bakers,100,2007
2,"Cooks, All Other",100,2007
2,"Umpires, Referees, and Other Sports Officials",100,2007
2,Helpers--Roofers,100,2007
2,Tire Repairers and Changers,100,2007
2,"Library Assistants, Clerical",100,2007
2,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",100,2007
2,"Cooks, Private Household",100,2007
2,"Gaming Service Workers, All Other",100,2007
2,Landscaping and Groundskeeping Workers,100,2007
2,Floral Designers,100,2007
2,Demonstrators and Product Promoters,100,2007
2,Physical Therapist Aides,100,2007
2,"Laborers and Freight, Stock, and Material Movers, Hand",100,2007
2,Crossing Guards,100,2007
2,Tour guides and escorts,100,2007
2,Shoe and Leather Workers and Repairers,100,2007
2,"Textile Cutting Machine Setters, Operators, and Tenders",100,2007
2,Bicycle Repairers,100,2007
2,"Helpers--Installation, Maintenance, and Repair Workers",100,2007
2,Textile Bleaching and Dyeing Machine Operators and Tenders,100,2007
2,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",100,2007
2,Shoe Machine Operators and Tenders,100,2007
2,Forest and Conservation Workers,100,2007
2,Slaughterers and Meat Packers,100,2007
2,rc_Orderlies/Nursing Assistants,100,2007
2,Residential Advisors,100,2007
2,"Cutters and Trimmers, Hand",100,2007
2,Psychiatric Aides,100,2007
2,Gaming Cage Workers,100,2007
2,Gaming Change Persons and Booth Cashiers,100,2007
2,"rc_Security guards/Protective service workers, all other/Security Guards/Transportation Security Screeners",100,2007
2,Tellers,100,2007
2,Barbers,100,2007
2,"Entertainment Attendants and Related Workers, All Other",100,2007
2,"Agricultural Workers, All Other",100,2007
2,Animal Trainers,100,2007
2,"Switchboard Operators, Including Answering Service",100,2007
2,Couriers and Messengers,100,2007
2,Helpers--Carpenters,100,2007
2,"Helpers, Construction Trades, All Other",100,2007
2,Timing Device Assemblers and Adjusters,100,2007
2,Agricultural Equipment Operators,100,2007
2,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",100,2007
2,Packaging and Filling Machine Operators and Tenders,100,2007
2,"Assemblers and Fabricators, All Other",100,2007
2,"Textile, Apparel, and Furnishings Workers, All Other",100,2007
2,Receptionists and Information Clerks,100,2007
2,File Clerks,100,2007
2,"Sawing Machine Setters, Operators, and Tenders, Wood",100,2007
2,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",100,2007
2,Public Address System and Other Announcers,100,2007
2,Dietetic Technicians,100,2007
2,"Tailors, Dressmakers, and Custom Sewers",100,2007
2,Food Cooking Machine Operators and Tenders,100,2007
2,"rc_Production Workers, All Other/Food Processing Workers, All Other",100,2007
2,"Religious Workers, All Other",100,2007
2,Merchandise Displayers and Window Trimmers,100,2007
2,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",100,2007
2,Food Batchmakers,100,2007
2,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",100,2007
2,"Grounds Maintenance Workers, All Other",100,2007
2,Occupational Therapy Aides,100,2007
2,"Mail Clerks and Mail Machine Operators, Except Postal Service",100,2007
2,"Motor Vehicle Operators, All Other",100,2007
2,"Fabric Menders, Except Garment",100,2007
2,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",100,2007
